time_step,time_hours,time_seconds,S,D,P,N,R,I
255,255,918000,0,0,0,0,296,198
256,256,921600,0,0,0,0,296,198
257,257,925200,0,0,0,0,296,198
258,258,928800,0,0,0,0,296,198
259,259,932400,0,0,0,0,296,198
260,260,936000,0,0,0,0,296,198
261,261,939600,0,0,0,0,296,198
262,262,943200,0,0,0,0,296,198
263,263,946800,0,0,0,0,296,198
264,264,950400,0,0,0,0,296,198
265,265,954000,0,0,0,0,296,198
266,266,957600,0,0,0,0,296,198
267,267,961200,0,0,0,0,296,198
268,268,964800,0,0,0,0,296,198
269,269,968400,0,0,0,0,296,198
270,270,972000,0,0,0,0,296,198
271,271,975600,0,0,0,0,296,198
272,272,979200,0,0,0,0,296,198
273,273,982800,0,0,0,0,296,198
274,274,986400,0,0,0,0,296,198
275,275,990000,0,0,0,0,296,198
276,276,993600,0,0,0,0,296,198
277,277,997200,0,0,0,0,296,198
278,278,1000800,0,0,0,0,296,198
279,279,1004400,0,0,0,0,296,198
280,280,1008000,0,0,0,0,296,198
281,281,1011600,0,0,0,0,296,198
282,282,1015200,0,0,0,0,296,198
283,283,1018800,0,0,0,0,296,198
284,284,1022400,0,0,0,0,296,198
285,285,1026000,0,0,0,0,296,198
286,286,1029600,0,0,0,0,296,198
287,287,1033200,0,0,0,0,296,198
288,288,1036800,0,0,0,0,296,198
289,289,1040400,0,0,0,0,296,198
290,290,1044000,0,0,0,0,296,198
291,291,1047600,0,0,0,0,296,198
292,292,1051200,0,0,0,0,296,198
293,293,1054800,0,0,0,0,296,198
294,294,1058400,0,0,0,0,296,198
295,295,1062000,0,0,0,0,296,198
296,296,1065600,0,0,0,0,296,198
297,297,1069200,0,0,0,0,296,198
298,298,1072800,0,0,0,0,296,198
299,299,1076400,0,0,0,0,296,198
300,300,1080000,0,0,0,0,296,198
301,301,1083600,0,0,0,0,296,198
302,302,1087200,0,0,0,0,296,198
303,303,1090800,0,0,0,0,296,198
304,304,1094400,0,0,0,0,296,198
305,305,1098000,0,0,0,0,296,198
306,306,1101600,0,0,0,0,296,198
307,307,1105200,0,0,0,0,296,198
308,308,1108800,0,0,0,0,296,198
309,309,1112400,0,0,0,0,296,198
310,310,1116000,0,0,0,0,296,198
311,311,1119600,0,0,0,0,296,198
312,312,1123200,0,0,0,0,296,198
313,313,1126800,0,0,0,0,296,198
314,314,1130400,0,0,0,0,296,198
315,315,1134000,0,0,0,0,296,198
316,316,1137600,0,0,0,0,296,198
317,317,1141200,0,0,0,0,296,198
318,318,1144800,0,0,0,0,296,198
319,319,1148400,0,0,0,0,296,198
320,320,1152000,0,0,0,0,296,198
321,321,1155600,0,0,0,0,296,198
322,322,1159200,0,0,0,0,296,198
323,323,1162800,0,0,0,0,296,198
324,324,1166400,0,0,0,0,296,198
325,325,1170000,0,0,0,0,296,198
326,326,1173600,0,0,0,0,296,198
327,327,1177200,0,0,0,0,296,198
328,328,1180800,0,0,0,0,296,198
329,329,1184400,0,0,0,0,296,198
330,330,1188000,0,0,0,0,296,198
331,331,1191600,0,0,0,0,296,198
332,332,1195200,0,0,0,0,296,198
333,333,1198800,0,0,0,0,296,198
334,334,1202400,0,0,0,0,296,198
335,335,1206000,0,0,0,0,296,198
336,336,1209600,0,0,0,0,296,198
337,337,1213200,0,0,0,0,296,198
338,338,1216800,0,0,0,0,296,198
339,339,1220400,0,0,0,0,296,198
340,340,1224000,0,0,0,0,296,198
341,341,1227600,0,0,0,0,296,198
342,342,1231200,0,0,0,0,296,198
343,343,1234800,0,0,0,0,296,198
344,344,1238400,0,0,0,0,296,198
345,345,1242000,0,0,0,0,296,198
346,346,1245600,0,0,0,0,296,198
347,347,1249200,0,0,0,0,296,198
348,348,1252800,0,0,0,0,296,198
349,349,1256400,0,0,0,0,296,198
350,350,1260000,0,0,0,0,296,198
351,351,1263600,0,0,0,0,296,198
352,352,1267200,0,0,0,0,296,198
353,353,1270800,0,0,0,0,296,198
354,354,1274400,0,0,0,0,296,198
355,355,1278000,0,0,0,0,296,198
356,356,1281600,0,0,0,0,296,198
357,357,1285200,0,0,0,0,296,198
358,358,1288800,0,0,0,0,296,198
359,359,1292400,0,0,0,0,296,198
360,360,1296000,0,0,0,0,296,198
